day,date,time,artist,event,location,row,ticket_info,price,retailer,time_of_search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO", GA,Up to 18 tickets available 1 - 18 Tickets,76,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",46,Mobile Tickets 2 Tickets,104,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",47,Mobile Tickets 2 Tickets,105,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",43,Mobile Tickets 2 Tickets,106,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",46,Mobile Tickets 1 - 3 Tickets,106,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",47,Mobile Tickets 1 - 5 Tickets,106,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",44,Mobile Tickets 2 - 4 Tickets,106,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",45,Mobile Tickets 2 - 6 Tickets,106,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",45,Mobile Tickets 1 - 3 Tickets,106,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",44,Mobile Tickets 2 - 4 Tickets,107,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",46,Mobile Tickets 2 - 6 Tickets,107,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",44,Mobile Tickets 2 - 6 Tickets,108,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",46,Mobile Tickets 2 Tickets,108,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",41,Mobile Tickets 2 - 4 Tickets,109,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",45,Mobile Tickets 2 - 6 Tickets,109,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",43,Mobile Tickets 2 - 6 Tickets,110,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",47,Mobile Tickets 2 - 6 Tickets,110,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",47,Mobile Tickets 2 Tickets,111,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",43,Mobile Tickets 1 - 3 Tickets,111,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",43,Mobile Tickets 2 Tickets,112,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",46,Mobile Tickets 2 - 6 Tickets,112,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",43,Mobile Tickets 2 - 4 Tickets,113,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",46,Mobile Tickets 2 - 6 Tickets,113,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",43,Mobile Tickets 2 - 6 Tickets,114,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",46,Mobile Tickets 2 - 4 Tickets,114,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",46,Mobile Tickets 2 - 4 Tickets,115,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",44,Mobile Tickets 2 - 4 Tickets,115,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",46,Mobile Tickets 2 - 4 Tickets,116,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",44,Mobile Tickets 2 - 6 Tickets,116,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",45,Mobile Tickets 2 - 6 Tickets,117,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",43,Mobile Tickets 1 - 3 Tickets,117,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",45,Mobile Tickets 2 - 6 Tickets,118,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",45,Mobile Tickets 2 - 6 Tickets,119,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",46,Mobile Tickets 2 - 6 Tickets,120,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",39,Mobile Tickets 2 Tickets,121,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",47,Mobile Tickets - Zone Seating 1 - 4 Tickets,131,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",32,Mobile Tickets 1 - 3 Tickets,132,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",30,Mobile Tickets 2 - 4 Tickets,145,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",15,1 - 6 Tickets,148,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",9,Mobile Tickets 1 - 3 Tickets,152,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",9,Mobile Tickets 1 - 3 Tickets,154,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",8,Mobile Tickets 2 - 4 Tickets,156,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",22,Mobile Tickets 2 Tickets,157,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,14-May,7:00 PM,Lord Huron,Red Rocks Amphitheatre,"Morrison ,  CO",14,Mobile Tickets 1 - 3 Tickets,160,vividseats,3/26/19 18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
